pygame 2.6.0 (SDL 2.28.4, Python 3.12.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
100
100
         12397737 function calls (12376331 primitive calls) in 13.219 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    2.000    1.000    2.000    1.000 {built-in method time.sleep}
   825514    1.768    0.000    1.768    0.000 {built-in method numpy.array}
   105000    0.801    0.000    2.091    0.000 config.py:106(obs_Nfd)
     1001    0.762    0.001    0.762    0.001 {built-in method pygame.display.update}
   109000    0.534    0.000    1.887    0.000 config.py:85(obs_Nfl)
        1    0.503    0.503    0.504    0.504 {built-in method pygame.display.set_mode}
   286357    0.465    0.000    0.465    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    84241    0.449    0.000    0.980    0.000 main.py:208(move_towards)
   100000    0.419    0.000    5.057    0.000 main.py:216(get_observation)
    72356    0.345    0.000    1.287    0.000 main.py:304(nearest_food)
  2678638    0.325    0.000    0.325    0.000 {method 'collidepoint' of 'pygame.rect.Rect' objects}
    74/71    0.321    0.004    0.325    0.005 {built-in method _imp.create_dynamic}
    98000    0.295    0.000    0.341    0.000 config.py:157(obs_Nhd)
    72356    0.287    0.000    0.678    0.000 main.py:324(touching_food)
   286356    0.285    0.000    0.799    0.000 fromnumeric.py:69(_wrapreduction)
   286356    0.220    0.000    1.058    0.000 fromnumeric.py:2255(sum)
    84241    0.216    0.000    0.416    0.000 _linalg.py:2566(norm)
     1001    0.208    0.000    0.208    0.000 {method 'fill' of 'pygame.surface.Surface' objects}
   286356    0.186    0.000    0.499    0.000 fromnumeric.py:1305(argmin)
   100000    0.176    0.000    8.198    0.000 main.py:133(step)
     2002    0.171    0.000    0.194    0.000 {method 'blits' of 'pygame.surface.Surface' objects}
   286356    0.156    0.000    0.156    0.000 {method 'argmin' of 'numpy.ndarray' objects}
   363722    0.153    0.000    0.153    0.000 sprite.py:382(sprites)
   837990    0.151    0.000    0.221    0.000 {built-in method builtins.getattr}
   360716    0.139    0.000    0.336    0.000 sprite.py:440(__iter__)
   286356    0.122    0.000    0.313    0.000 fromnumeric.py:51(_wrapfunc)
   192908    0.092    0.000    0.092    0.000 {built-in method builtins.min}
   539054    0.081    0.000    0.081    0.000 {method 'append' of 'list' objects}
